Gene ID	Name	Organ	Cell type
AT5G57800	FLP1,FACELESS POLLEN 1,WAX2,YRE	Flower	Abaxial Epidermis
AT3G09730	POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein	Flower	Adaxial Epidermis
AT3G09730	POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein	Flower	GC 
AT3G01500	ATBCA1,BETA CARBONIC ANHYDRASE 1,ATSABP3,ARABIDOPSIS THALIANA SALICYLIC ACID-BINDING PROTEIN 3,SABP3,SALICYLIC ACID-BINDING PROTEIN 3	Flower	Epidermis
AT5G60490	AtFLA12	Flower	Xylem
AT1G04040 	AT1G04040 	Leaf	Epidermis
AT5G28630	AT5G28630	Leaf	Epidermis
AT5G44430	PDF1.2c 	Leaf	Abaxial Epidermis
AT1G22690	AT1G22690	Leaf	GC
AT1G62510	AT1G62510	Leaf	Hydrathode
AT3G16660	AT3G16660	Leaf	Hydrathode
AT3G16670	AT3G16670	Leaf	Hydrathode
AT1G21250	WAK1	Leaf	Growing leaves
AT2G26250	FDH	NA	Epidermis
AT2G30424	TCL2	NA	Epidermis
AT4G21750	ATML1	NA	Epidermis
AT4G14480	BLUS1	NA	GC
AT5G26000	GC, MI	NA	GC
AT1G22150	SULTR1;3	NA	Phloem
AT3G19710	BCAT4	NA	Phloem
AT5G09220	AAP2	NA	Phloem
AT5G23010	MAM1	NA	Phloem
AT5G50160	FRO8	NA	Phloem
AT5G59780	MYB59	NA	Stem Vasculature
AT1G79840	GL2	NA	Trichome development
AT5G40330	MYB23	NA	Trichome development
AT4G38740	Cyclophilin ROC1	NA	Vasculature
AT5G02380	MET2B	NA	Vasculature
AT5G02600	NaKR1	NA	Vasculature
AT5G15950	SAMDC2	NA	Vasculature
AT1G67560	LOX6	NA	Xylem
AT4G35350	XCP1	NA	Xylem
AT1G01320	Tetratricopeptide repeat (TPR)-like superfamily protein	NA	Sepals, young flower.
AT1G13930	oleosin-B3-like protein	NA	Sepals
AT1G23510	OBP32pep protein	NA	Petal, mature flowers
AT1G24260	AGL9,AGAMOUS-like 9	NA	Pollen tube growth
AT1G28270	AtRALF4	NA	Pollen tube growth
AT1G29910	AB180,LHCB1.2,LIGHT HARVESTING CHLOROPHYLL A/B BINDING PROTEIN 1.2	NA	Mesophyll
AT1G52510	alpha/beta-Hydrolases superfamily protein	NA	Sepals, young and mature
AT1G54270	eif4a-2	NA	Is not petal
AT1G55670	photosystem I subunit G	NA	Mesophyll
AT1G55670	photosystem I subunit G	NA	Mesophyll
AT1G62020	Coatomer, alpha subunit	NA	Stamen mature flower
AT1G69870	AtNPF2.13,NPF2.13,NRT1/ PTR family 2.13	NA	Mesophyll
AT1G69870	AtNPF2.13,NPF2.13,NRT1/ PTR family 2.13	NA	Mesophyll
AT1G75920	GDSL-like Lipase/Acylhydrolase superfamily protein	NA	Young Flower
AT2G06520	photosystem II subunit X	NA	Mesophyll
AT2G16940	Splicing factor, CC1-like protein	NA	Carpel
AT2G17033	pentatricopeptide (PPR) repeat-containing protein	NA	Sepal young flowers
AT2G21870	MALE GAMETOPHYTE DEFECTIVE 1	NA	Stamen, fillament
AT2G42840	protodermal factor 1	NA	Trichome
AT2G42840	protodermal factor 1	NA	Protoderm
AT2G45660	ATSOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1,SOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1	NA	Stamen
AT2G45660	ATSOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1,SOC1,SUPPRESSOR OF OVEREXPRESSION OF CO 1	NA	Carpel
AT2G47260	ATWRKY23,WRKY DNA-BINDING PROTEIN 23	NA	MI
AT4G24450	ATGWD2,GWD3	NA	Vasculature
AT4G38740	rotamase CYP 1	NA	Phloem
AT5G02380	metallothionein 2B	NA	Phloem
AT5G04480	BUP,Bursting pollen	NA	Pollen tube development
AT5G15950	Adenosylmethionine decarboxylase family protein	NA	Vasculatore
AT5G16560	KAN1,KANADI 1	NA	Mesophyll
AT5G25980	BGLU37,BETA GLUCOSIDASE 37	NA	MI
AT5G48620	Disease resistance protein (CC-NBS-LRR class) family	NA	Sepal
AT5G57350	AHA3,H(+)-ATPase 3,ATAHA3,ARABIDOPSIS THALIANA ARABIDOPSIS H(+)-ATPASE	NA	Phloem
AT5G65590	SCAP1,STOMATAL CARPENTER 1	NA	Petals
AT1G23420	INO	NA	Ovule
AT5G60490	FLA12	NA	Xylem
AT4G32880	ATHB-8	NA	Xylem
AT5G19530	ACL5	NA	Xylem
AT3G25710	TMO5	NA	Xylem
AT5G02600	NAKR1	NA	Phloem Parenchyma and Companion cells
AT5G02380	MT2B	NA	Phloem Parenchyma and Companion cells
AT4G38740	CYP18-3	NA	Phloem Parenchyma and Companion cells
AT3G48740	SWEET11	NA	Phloem Parenchyma
AT5G23660	SWEET12	NA	Phloem Parenchyma and Companion cells
AT1G22710	SUC2	NA	Companion cells
AT1G79430	APL	NA	Companion cells
AT4G13770	CYP83-A1	NA	Phloem Parenchyma and Companion cells
AT1G52190	NPF1.2	NA	Companion cells
AT5G54660	HSP21.7	NA	Phloem Parenchyma and Companion cells
AT5G57350	AHA3	NA	Phloem Parenchyma and Companion cells
AT3G25710	TMO5	NA	Procambium
AT5G61480	PXY	NA	Procambium
AT2G37640	EXPA3	NA	Epidermis
AT3G29030	EXPA5	NA	Epidermis
AT2G32990	AtGH9B8	NA	Epidermis
AT1G80080	TMM	NA	Epidermis
AT2G42840	PDF1	NA	Epidermis
AT1G68530	CUT1	NA	Epidermis
AT1G51500	CER5	NA	Epidermis
AT1G27950	LPTG1	NA	Epidermis
AT5G49160	DMT1	NA	Epidermis
AT4G27230	HTA2	NA	Epidermis
AT1G08880	HTA5	NA	Epidermis
AT5G59870	HTA6	NA	Epidermis
AT1G51060	HTA10	NA	Epidermis
AT3G20670	HTA13	NA	Epidermis
AT3G17360	POK1	NA	Epidermis
AT3G19050	POK2	NA	Epidermis
AT4G23800	HMGB6	NA	Epidermis
AT4G33270	CDC20-1	NA	Epidermis
AT4G33260	CDC20-2	NA	Epidermis
AT5G54585	AT5G54585	NA	Epidermis
AT1G04040	AT1G04040	NA	Epidermis
AT5G28630	AT5G28630	NA	Epidermis
AT2G26580	YAB5	NA	Abaxial Epidermis
AT4G21910	AT4G21910	NA	Abaxial Epidermis
AT4G00180	YAB3	NA	Abaxial Epidermis
AT5G13930	CHS	NA	Adaxial Epidermis
AT1G18810	AT1G18810	NA	Adaxial Epidermis
AT5G62210	AT5G62210	NA	Adaxial Epidermis
AT1G04250	AXR3	NA	Adaxial Epidermis
AT5G53210	SPCH	NA	Stomatal lineage
AT3G06120	MUTE	NA	Stomatal lineage
AT3G24140	FAMA	NA	Stomatal lineage
AT1G80080	TMM	NA	Stomatal lineage
AT1G34245	EPF2	NA	Stomatal lineage
AT1G68530	CER6	NA	GC
AT1G12480	SLAC1	NA	GC
AT4G37490	CYCB1	NA	Dividing
AT1G18370	H2B	NA	Dividing
AT5G54640	HTA1	NA	Dividing
AT1G18370	NACK1	NA	Dividing
AT1G07370	PCNA1	NA	Dividing
AT2G29570	PCNA2	NA	Dividing
AT1G77990	SULTR2;2	NA	Bundle Sheath
AT2G43150	AT2G43150	NA	Bundle Sheath
AT1G12010	AT1G12010	NA	Bundle Sheath
AT5G05690	CYP90A1	NA	Palisade mesophyll
AT1G70410	BCA4	NA	Palisade mesophyll
AT4G23060	IQD22	NA	Palisade mesophyll
AT5G17170	ENH1	NA	Mesophyll
AT4G23600	CORI3	NA	Spongy mesophyll
AT1G29910	CAB3	NA	Mesophyll
AT2G05100	LHCB2.1	NA	Mesophyll
AT2G27250	CLV3	NA	SAM CZ
AT2G17950	WUS	NA	SAM RM
AT3G17360	POK1	NA	Dividing
AT3G19050	POK2	NA	Dividing
AT5G23420	HMGB6	NA	Dividing
AT4G33270	CDC20.1	NA	Dividing
AT4G33260	CDC20.2	NA	Dividing
AT4G27230	HISTONE 	NA	Dividing
AT5G49160	MET1	NA	Dividing
AT3G15353	AT3G15353	NA	Seed coat
AT5G02380	AT5G02380	NA	Seed coat
AT1G21310	AT1G21310	NA	Seed coat
AT5G25980	TGG2	NA	MI
AT3G01670	SEOR2	NA	Sieve element
AT3G01680	SEOR1	NA	Sieve element
AT1G05760	RTM1	NA	Sieve element
AT5G04890	RTM2	NA	Sieve element
AT1G20850	XCP2	NA	Xylem
AT5G62380	VND6	NA	Xylem
AT2G01540	CAR10	Root	Trichoblast
AT1G23750	AT1G23750	Root	Trichoblast
AT1G05810	ARA	Root	Trichoblast
AT5G40860	AT5G40860	Root	Trichoblast
AT3G07880	GDI1	Root	Trichoblast
AT5G40510	AT5G40510	Root	Trichoblast
AT1G73580	CAR3	Root	Trichoblast
AT4G24026	AT4G24026	Root	Trichoblast
AT5G58010	BHLH82	Root	Trichoblast
AT1G70460	PERK13	Root	Trichoblast
AT3G60330	AHA7	Root	Trichoblast
AT1G48930	AtGH9C1	Root	Trichoblast
AT4G01480	PPA5	Root	Trichoblast
AT2G47530	AT2G47530	Root	Trichoblast
AT4G34580	SFH1	Root	Trichoblast
AT1G12560	EXPA7	Root	Trichoblast
AT1G06923	AT1G06923	Root	Trichoblast
AT3G09925	AT3G09925	Root	Trichoblast
AT3G54590	EXT2	Root	Trichoblast
AT1G30870	PER7	Root	Trichoblast
AT5G05500	AT5G05500	Root	Trichoblast
AT3G54580	AT3G54580	Root	Trichoblast
AT2G47540	AT2G47540	Root	Trichoblast
AT4G00680	ADF8	Root	Trichoblast
AT1G30990	AT1G30990	Root	Trichoblast
AT1G13950	ELF5A-1	Root	Trichoblast
AT1G53680	GSTU28	Root	Trichoblast
AT5G67400	PER73	Root	Trichoblast
AT3G23190	AT3G23190	Root	Trichoblast
AT2G41970	AT2G41970	Root	Trichoblast
AT4G40090	AGP3	Root	Trichoblast
AT3G49960	PER35	Root	Trichoblast
AT3G21180	ACA9	Root	Trichoblast
AT1G01750	ADF11	Root	Trichoblast
AT4G25820	XTH14	Root	Trichoblast
AT5G42510	DIR1	Root	Trichoblast
AT4G29180	RHS16	Root	Trichoblast
AT1G27140	GSTU14	Root	Trichoblast
AT4G33880	BHLH85	Root	Trichoblast
AT5G04960	PME46	Root	Trichoblast
AT1G62980	EXPA18	Root	Trichoblast
AT1G12040	LRX1	Root	Trichoblast
AT5G57625	AT5G57625	Root	Trichoblast
AT2G22290	RABH1D	Root	Trichoblast
AT5G49270	COBL9	Root	Trichoblast
AT3G12540	AT3G12540	Root	Trichoblast
AT5G06640	AT5G06640	Root	Trichoblast
AT4G08400	AT4G08400	Root	Trichoblast
AT4G08410	AT4G08410	Root	Trichoblast
AT5G01610	AT5G01610	Root	Trichoblast
AT1G02460	AT1G02460	Root	Xylem Pole Pericycle
AT1G30760	AT1G30760	Root	Xylem Pole Pericycle
AT3G26610	AT3G26610	Root	Xylem Pole Pericycle
AT4G28410	AT4G28410	Root	Xylem Pole Pericycle
AT2G18800	XTH21	Root	Xylem Pole Pericycle
AT4G20210	TPS08	Root	Xylem Pole Pericycle
AT3G61490	AT3G61490	Root	Xylem Pole Pericycle
AT1G31670	AT1G31670	Root	Xylem Pole Pericycle
AT2G26040	PYL2	Root	Xylem Pole Pericycle
AT5G19730	PME53	Root	Xylem Pole Pericycle
AT3G11630	BAS1	Root	Xylem Pole Pericycle
AT4G17030	EXLB1	Root	Xylem Pole Pericycle
AT5G26930	GATA23	Root	Xylem Pole Pericycle
AT5G09760	AT5G09760	Root	Xylem Pole Pericycle
AT3G11150	AT3G11150	Root	Xylem Pole Pericycle
AT5G16570	GLN1-4	Root	Xylem Pole Pericycle
AT4G33550	AT4G33550	Root	Xylem Pole Pericycle
AT5G07030	AT5G07030	Root	Xylem Pole Pericycle
AT4G30460	AT4G30460	Root	Xylem Pole Pericycle
AT5G43180	AT5G43180	Root	Xylem Pole Pericycle
AT5G46730	AT5G46730	Root	Xylem Pole Pericycle
AT5G44530	AT5G44530	Root	Xylem Pole Pericycle
AT2G40970	MYBC1	Root	Xylem Pole Pericycle
AT3G13810	AtIDD11	Root	Xylem Pole Pericycle
AT4G20230	AT4G20230	Root	Xylem Pole Pericycle
AT5G17870	PSRP6	Root	Xylem Pole Pericycle
AT2G07680	ATMRP11	Root	Xylem Pole Pericycle
AT4G23500	AT4G23500	Root	Xylem Pole Pericycle
AT4G24770	CP31A	Root	Xylem Pole Pericycle
AT2G26700	PID2	Root	Xylem Pole Pericycle
AT3G29680	AT3G29680	Root	Xylem Pole Pericycle
AT4G34620	RPS16-1	Root	Xylem Pole Pericycle
AT5G56500	CPN60B3	Root	Xylem Pole Pericycle
AT2G23030	SRK2J	Root	Xylem Pole Pericycle
AT5G16040	AT5G16040	Root	Xylem Pole Pericycle
AT1G16310	MTP10	Root	Xylem Pole Pericycle
AT3G45700	NPF2.4	Root	Xylem Pole Pericycle
AT1G23760	PGL1	Root	Xylem Pole Pericycle
AT3G61510	ACS1	Root	Xylem Pole Pericycle
AT1G16350	AT1G16350	Root	Xylem Pole Pericycle
AT1G08440	ALMT2	Root	Xylem Pole Pericycle
AT5G20720	CPN20	Root	Xylem Pole Pericycle
AT5G47500	PME68	Root	Xylem Pole Pericycle
AT4G37295	AT4G37295	Root	Xylem Pole Pericycle
AT5G62630	HIPL2	Root	Xylem Pole Pericycle
AT1G52300	RPL37B	Root	Xylem Pole Pericycle
AT2G23530	AT2G23530	Root	Xylem Pole Pericycle
AT3G53460	CP29	Root	Xylem Pole Pericycle
AT1G11330	AT1G11330	Root	Xylem Pole Pericycle
AT5G66816	CEP6	Root	Xylem Pole Pericycle
AT3G19320	AT3G19320	Root	Elongation_Atrichoblast
AT1G65481	AT1G65481	Root	Elongation_Atrichoblast
AT1G54820	AT1G54820	Root	Elongation_Atrichoblast
AT1G19600	AT1G19600	Root	Elongation_Atrichoblast
AT4G01890	AT4G01890	Root	Elongation_Atrichoblast
AT2G39040	PER24	Root	Elongation_Atrichoblast
AT1G30690	PATL4	Root	Elongation_Atrichoblast
AT2G40250	AT2G40250	Root	Elongation_Atrichoblast
AT3G49845	AT3G49845	Root	Elongation_Atrichoblast
AT5G60950	COBL5	Root	Elongation_Atrichoblast
AT4G20260	PCAP1	Root	Elongation_Atrichoblast
AT1G06120	AT1G06120	Root	Elongation_Atrichoblast
AT1G65310	ATXTH17	Root	Elongation_Atrichoblast
AT1G15350	AT1G15350	Root	Elongation_Atrichoblast
AT5G45510	AT5G45510	Root	Elongation_Atrichoblast
AT1G14960	AT1G14960	Root	Elongation_Atrichoblast
AT3G05860	AT3G05860	Root	Elongation_Atrichoblast
AT1G05650	AT1G05650	Root	Elongation_Atrichoblast
AT2G30930	AT2G30930	Root	Elongation_Atrichoblast
AT2G39530	AT2G39530	Root	Elongation_Atrichoblast
AT3G23510	AT3G23510	Root	Elongation_Atrichoblast
AT3G46280	AT3G46280	Root	Elongation_Atrichoblast
AT4G17470	AT4G17470	Root	Elongation_Atrichoblast
AT3G29780	RALFL27	Root	Elongation_Atrichoblast
AT1G51850	AT1G51850	Root	Elongation_Atrichoblast
AT2G31540	AT2G31540	Root	Elongation_Atrichoblast
AT4G10380	NIP5-1	Root	Elongation_Atrichoblast
AT1G19900	AT1G19900	Root	Elongation_Atrichoblast
AT1G49030	PCR6	Root	Elongation_Atrichoblast
AT4G17870	PYR1	Root	Elongation_Atrichoblast
AT5G23750	AT5G23750	Root	Elongation_Atrichoblast
AT3G18200	AT3G18200	Root	Elongation_Atrichoblast
AT4G12545	AIR1B	Root	Elongation_Atrichoblast
AT1G25450	KCS5	Root	Elongation_Atrichoblast
AT4G25830	AT4G25830	Root	Elongation_Atrichoblast
AT3G28750	AT3G28750	Root	Elongation_Atrichoblast
AT2G39410	AT2G39410	Root	Elongation_Atrichoblast
AT1G10550	XTH33	Root	Elongation_Atrichoblast
AT5G16730	AT5G16730	Root	Elongation_Atrichoblast
AT1G51800	IOS1	Root	Elongation_Atrichoblast
AT4G23870	AT4G23870	Root	Elongation_Atrichoblast
AT1G23110	AT1G23110	Root	Elongation_Atrichoblast
AT1G31772	AT1G31772	Root	Elongation_Atrichoblast
AT4G22666	AT4G22666	Root	Elongation_Atrichoblast
AT4G29350	PRO2	Root	Elongation_Atrichoblast
AT3G46010	ADF1	Root	Elongation_Atrichoblast
AT4G21850	MSRB9	Root	Elongation_Atrichoblast
AT3G28345	ABCB15	Root	Elongation_Atrichoblast
AT2G02610	AT2G02610	Root	Elongation_Atrichoblast
AT3G05936	AT3G05936	Root	Elongation_Atrichoblast
AT4G32410	CESA1	Root	Elongation_Cortex
AT1G62510	AT1G62510	Root	Elongation_Cortex
AT2G02780	AT2G02780	Root	Elongation_Cortex
AT5G42590	CYP71A16	Root	Elongation_Cortex
AT4G19410	AT4G19410	Root	Elongation_Cortex
AT5G19250	AT5G19250	Root	Elongation_Cortex
AT2G34660	ABCC2	Root	Elongation_Cortex
AT5G64620	C/VIF2	Root	Elongation_Cortex
AT5G55250	IAMT1	Root	Elongation_Cortex
AT2G06850	XTH4	Root	Elongation_Cortex
AT2G03370	AT2G03370	Root	Elongation_Cortex
AT1G15210	ABCG35	Root	Elongation_Cortex
AT3G26300	CYP71B34	Root	Elongation_Cortex
AT4G22460	AT4G22460	Root	Elongation_Cortex
AT2G27000	CYP705A8	Root	Elongation_Cortex
AT4G12730	FLA2	Root	Elongation_Cortex
AT2G45960	PIP1B	Root	Elongation_Cortex
AT1G77990	SULTR2;2	Root	Elongation_Cortex
AT1G79410	5-Oct	Root	Elongation_Cortex
AT3G52470	AT3G52470	Root	Elongation_Cortex
AT5G49360	BXL1	Root	Elongation_Cortex
AT5G15410	CNGC2	Root	Elongation_Cortex
AT5G66920	sks17	Root	Elongation_Cortex
AT1G76160	sks5	Root	Elongation_Cortex
AT3G12700	NANA	Root	Elongation_Cortex
AT4G30950	FAD6	Root	Elongation_Cortex
AT2G15370	FUT5	Root	Elongation_Cortex
AT4G01150	CURT1A	Root	Elongation_Cortex
AT2G39010	PIP2-6	Root	Elongation_Cortex
AT1G05850	CTL1	Root	Elongation_Cortex
AT3G14840	LRR-RLK	Root	Elongation_Cortex
AT3G26590	DTX29	Root	Elongation_Cortex
AT1G01620	PIP1-3	Root	Elongation_Cortex
AT1G29025	AT1G29025	Root	Elongation_Cortex
AT3G57020	SSL9	Root	Elongation_Cortex
AT5G55480	GDPDL4	Root	Elongation_Cortex
AT1G58360	AAP1	Root	Elongation_Cortex
AT4G39350	CESA2	Root	Elongation_Cortex
AT1G07143	AT1G07143	Root	Elongation_Cortex
AT4G00430	PIP1.4	Root	Elongation_Cortex
AT4G12880	ENODL19	Root	Elongation_Cortex
AT5G04330	CYP84A4	Root	Elongation_Cortex
AT4G30170	PER45	Root	Elongation_Cortex
AT1G01630	AT1G01630	Root	Elongation_Cortex
AT1G03870	FLA9	Root	Elongation_Cortex
AT3G21670	NPF6.4	Root	Elongation_Cortex
AT5G61820	AT5G61820	Root	Elongation_Cortex
AT3G23530	AT3G23530	Root	Elongation_Cortex
AT2G45180	AT2G45180	Root	Elongation_Cortex
AT5G14120	AT5G14120	Root	Elongation_Cortex
AT4G22110	AT4G22110	Root	Elongation_Endodermis
AT3G17820	GLN1-3	Root	Elongation_Endodermis
AT2G48030	AT2G48030	Root	Elongation_Endodermis
AT1G68570	NPF3.1	Root	Elongation_Endodermis
AT3G59620	JAL39	Root	Elongation_Endodermis
AT1G16390	3-Oct	Root	Elongation_Endodermis
AT1G49660	CXE5	Root	Elongation_Endodermis
AT4G16447	AT4G16447	Root	Elongation_Endodermis
AT4G32710	PERK14	Root	Elongation_Endodermis
AT1G01360	PYL9	Root	Elongation_Endodermis
AT4G18930	AT4G18930	Root	Elongation_Endodermis
AT1G19840	AT1G19840	Root	Elongation_Endodermis
AT5G49800	AT5G49800	Root	Elongation_Endodermis
AT2G36890	RAX2	Root	Elongation_Endodermis
AT5G38790	AT5G38790	Root	Elongation_Endodermis
AT1G22640	MYB3	Root	Elongation_Endodermis
AT5G63595	FLS4	Root	Elongation_Endodermis
AT5G46600	ALMT13	Root	Elongation_Endodermis
AT4G16270	PER40	Root	Elongation_Endodermis
AT5G57620	MYB36	Root	Elongation_Endodermis
AT5G64570	BXL4	Root	Elongation_Endodermis
AT5G01595	AT5G01595	Root	Elongation_Endodermis
AT1G09560	GLP4	Root	Elongation_Endodermis
AT2G14900	GASA7	Root	Elongation_Endodermis
AT1G22650	INVD	Root	Elongation_Endodermis
AT1G72940	AT1G72940	Root	Elongation_Endodermis
AT4G11290	PER39	Root	Elongation_Endodermis
AT4G17300	NS1	Root	Elongation_Endodermis
AT4G24220	VEP1	Root	Elongation_Endodermis
AT1G14580	AT1G14580	Root	Elongation_Endodermis
AT4G05100	AtMYB74	Root	Elongation_Endodermis
AT5G53320	AT5G53320	Root	Elongation_Endodermis
AT5G28020	CYSD2	Root	Elongation_Endodermis
AT5G60460	AT5G60460	Root	Elongation_Endodermis
AT3G24450	AT3G24450	Root	Elongation_Endodermis
AT5G28010	AT5G28010	Root	Elongation_Endodermis
AT2G22000	PEP6	Root	Elongation_Endodermis
AT1G02205	CER1	Root	Elongation_Endodermis
AT1G72630	EFL2	Root	Elongation_Endodermis
AT3G10525	SMR1	Root	Elongation_Endodermis
AT2G36307	ZPR4	Root	Elongation_Endodermis
AT1G05260	PER3	Root	Elongation_Endodermis
AT3G45070	AT3G45070	Root	Elongation_Endodermis
AT5G45210	AT5G45210	Root	Elongation_Endodermis
AT1G08847	AT1G08847	Root	Elongation_Endodermis
AT2G23130	AGP17	Root	Elongation_Endodermis
AT2G47930	AGP26	Root	Elongation_Endodermis
AT1G59940	ARR3	Root	Elongation_Endodermis
AT5G05180	AT5G05180	Root	Elongation_Endodermis
AT1G16370	6-Oct	Root	Elongation_Endodermis
AT1G31812	ACBP6	Root	Elongation_Metaphloem & Companion Cell
AT4G26840	SUMO1	Root	Elongation_Metaphloem & Companion Cell
AT1G27530	AT1G27530	Root	Elongation_Metaphloem & Companion Cell
AT2G08610	AT2G08610	Root	Elongation_Metaphloem & Companion Cell
AT3G21600	AT3G21600	Root	Elongation_Metaphloem & Companion Cell
AT1G23530	AT1G23530	Root	Elongation_Metaphloem & Companion Cell
AT5G42146	AT5G42146	Root	Elongation_Metaphloem & Companion Cell
AT1G75820	CLV1	Root	Elongation_Metaphloem & Companion Cell
AT1G13440	GAPC2	Root	Elongation_Metaphloem & Companion Cell
AT4G36410	UBC17	Root	Elongation_Metaphloem & Companion Cell
AT3G06962	AT3G06962	Root	Elongation_Metaphloem & Companion Cell
AT5G41380	AT5G41380	Root	Elongation_Metaphloem & Companion Cell
AT1G12010	AT1G12010	Root	Elongation_Metaphloem & Companion Cell
AT5G27690	HIPP36	Root	Elongation_Metaphloem & Companion Cell
AT2G46630	AT2G46630	Root	Elongation_Metaphloem & Companion Cell
AT4G26970	ACO2	Root	Elongation_Metaphloem & Companion Cell
AT1G54575	AT1G54575	Root	Elongation_Metaphloem & Companion Cell
AT3G12730	PHL12	Root	Elongation_Metaphloem & Companion Cell
AT5G26620	AT5G26620	Root	Elongation_Metaphloem & Companion Cell
AT5G57350	AHA3	Root	Elongation_Metaphloem & Companion Cell
AT3G03270	AT3G03270	Root	Elongation_Metaphloem & Companion Cell
AT1G78580	TPS1	Root	Elongation_Metaphloem & Companion Cell
AT2G15310	ATARFB1A	Root	Elongation_Metaphloem & Companion Cell
AT4G10120	SPS4	Root	Elongation_Metaphloem & Companion Cell
AT1G10380	AT1G10380	Root	Elongation_Metaphloem & Companion Cell
AT1G75210	AT1G75210	Root	Elongation_Metaphloem & Companion Cell
AT5G06850	FTIP1	Root	Elongation_Metaphloem & Companion Cell
AT2G18960	AHA1	Root	Elongation_Metaphloem & Companion Cell
AT5G02600	NAKR1	Root	Elongation_Metaphloem & Companion Cell
AT3G03495	AT3G03495	Root	Elongation_Metaphloem & Companion Cell
AT1G71870	DTX54	Root	Elongation_Metaphloem & Companion Cell
AT2G47710	AT2G47710	Root	Elongation_Metaphloem & Companion Cell
AT3G04300	AT3G04300	Root	Elongation_Metaphloem & Companion Cell
AT5G58690	PLC5	Root	Elongation_Metaphloem & Companion Cell
AT5G53120	SPDS3	Root	Elongation_Metaphloem & Companion Cell
AT1G02705	AT1G02705	Root	Elongation_Metaphloem & Companion Cell
AT5G53850	AT5G53850	Root	Elongation_Metaphloem & Companion Cell
AT1G22050	MUB6	Root	Elongation_Metaphloem & Companion Cell
AT5G04080	AT5G04080	Root	Elongation_Metaphloem & Companion Cell
AT4G16480	INT4	Root	Elongation_Metaphloem & Companion Cell
AT2G02000	GAD3	Root	Elongation_Metaphloem & Companion Cell
AT5G12140	CYS1	Root	Elongation_Metaphloem & Companion Cell
AT5G63990	SAL3	Root	Elongation_Metaphloem & Companion Cell
AT3G48940	AT3G48940	Root	Elongation_Metaphloem & Companion Cell
AT2G36330	AT2G36330	Root	Elongation_Metaphloem & Companion Cell
AT3G23820	GAE6	Root	Elongation_Metaphloem & Companion Cell
AT5G50720	HVA22E	Root	Elongation_Metaphloem & Companion Cell
AT1G11570	NTL	Root	Elongation_Metaphloem & Companion Cell
AT5G65280	GCL1	Root	Elongation_Metaphloem & Companion Cell
AT1G23730	BCA3	Root	Elongation_Metaphloem & Companion Cell
AT1G23350	AT1G23350	Root	Elongation_Metaxylem
AT4G08685	SAH7	Root	Elongation_Metaxylem
AT5G53830	VQ33	Root	Elongation_Metaxylem
AT3G54820	PIP2-5	Root	Elongation_Metaxylem
AT3G17600	IAA31	Root	Elongation_Metaxylem
AT2G21540	SFH3	Root	Elongation_Metaxylem
AT3G47290	ATPLC8	Root	Elongation_Metaxylem
AT1G03010	AT1G03010	Root	Elongation_Metaxylem
AT5G06710	HAT14	Root	Elongation_Metaxylem
AT2G46572	AT2G46572	Root	Elongation_Metaxylem
AT3G10080	AT3G10080	Root	Elongation_Metaxylem
AT1G14700	PAP3	Root	Elongation_Metaxylem
AT1G27380	RIC2	Root	Elongation_Metaxylem
AT2G28410	AT2G28410	Root	Elongation_Metaxylem
AT1G26570	UGD1	Root	Elongation_Metaxylem
AT5G60490	FLA12	Root	Elongation_Metaxylem
AT2G35760	AT2G35760	Root	Elongation_Metaxylem
AT5G06670	AT5G06670	Root	Elongation_Metaxylem
AT1G08283	AT1G08283	Root	Elongation_Metaxylem
AT5G52655	AT5G52655	Root	Elongation_Metaxylem
AT1G68810	BHLH30	Root	Elongation_Metaxylem
AT3G51670	PATL6	Root	Elongation_Metaxylem
AT1G14190	AT1G14190	Root	Elongation_Metaxylem
AT4G06195	AT4G06195	Root	Elongation_Metaxylem
AT1G52150	ATHB-15	Root	Elongation_Metaxylem
AT2G40530	CEP15	Root	Elongation_Metaxylem
AT3G23630	IPT7	Root	Elongation_Metaxylem
AT4G32880	ATHB-8	Root	Elongation_Metaxylem
AT5G64667	IDL2	Root	Elongation_Metaxylem
AT5G37950	AT5G37950	Root	Elongation_Metaxylem
AT3G08490	AT3G08490	Root	Elongation_Metaxylem
AT5G08370	AGAL2	Root	Elongation_Metaxylem
AT2G45450	ZPR1	Root	Elongation_Metaxylem
AT3G17640	AT3G17640	Root	Elongation_Metaxylem
AT1G12663	AT1G12663	Root	Elongation_Metaxylem
AT3G54340	AP3	Root	Elongation_Metaxylem
AT2G28490	AT2G28490	Root	Elongation_Metaxylem
AT2G34710	ATHB-14	Root	Elongation_Metaxylem
AT3G54260	TBL36	Root	Elongation_Metaxylem
AT2G31070	TCP10	Root	Elongation_Metaxylem
AT5G01890	PXC2	Root	Elongation_Metaxylem
AT1G16400	CYP79F2	Root	Elongation_Metaxylem
AT3G51030	TRX1	Root	Elongation_Metaxylem
AT1G54200	AT1G54200	Root	Elongation_Metaxylem
AT1G01380	ETC1	Root	Elongation_Metaxylem
